pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
4427,XX,cde_fo,OPTCUR,GBPINR,GBPINR25DEC107.25CE,CE,GBPINR25DEC107.25CE,,26,,,,,,25000,1,1451485800,1000,4,1.0725e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,9.275e+07,7.465e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
4430,XX,cde_fo,OPTIRC,718GS2033,718GS203325JUN106PE,PE,718GS203325JUN106PE,,86,,,,,,25000,1,1435415400,1000,4,1.06e+09,CDS,OPTIRC,1435415400,,1435415400,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1435363200,1435415400,,,,,,315513000,0,1,0,1,0,1.24e+07,9.9e+06,1,1,2,0,0,1,0,1e+12,0,0,1250
4433,XX,cde_fo,OPTCUR,GBPINR,GBPINR25DEC107.25PE,PE,GBPINR25DEC107.25PE,,26,,,,,,25000,1,1451485800,1000,4,1.0725e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.085e+07,6.9e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
4438,XX,cde_fo,OPTCUR,GBPINR,GBPINR25DEC107.5CE,CE,GBPINR25DEC107.5CE,,26,,,,,,25000,1,1451485800,1000,4,1.075e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,9.0675e+07,7.2775e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
4439,XX,cde_fo,OPTCUR,GBPINR,GBPINR25DEC107.5PE,PE,GBPINR25DEC107.5PE,,26,,,,,,25000,1,1451485800,1000,4,1.075e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.1425e+07,7.325e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
4440,XX,cde_fo,OPTCUR,GBPINR,GBPINR25DEC107.75CE,CE,GBPINR25DEC107.75CE,,26,,,,,,25000,1,1451485800,1000,4,1.0775e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,8.8675e+07,7.0925e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
4441,XX,cde_fo,OPTCUR,GBPINR,GBPINR25DEC107.75PE,PE,GBPINR25DEC107.75PE,,26,,,,,,25000,1,1451485800,1000,4,1.0775e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.205e+07,7.75e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
4442,XX,cde_fo,OPTCUR,JPYINR,JPYINR2551655.25PE,PE,JPYINR2551655.25PE,,27,,,,,,25000,1,1431873000,1000,4,5.525e+08,CDS,OPTCUR,1431873000,,1431846000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1431820800,1431873000,,,,,,315513000,0,1,0,1,0,200000,25000,1,1,1,0,0,1,0,1e+12,1.25,0,10000
4443,XX,cde_fo,OPTCUR,JPYINR,JPYINR2551655.5CE,CE,JPYINR2551655.5CE,,27,,,,,,25000,1,1431873000,1000,4,5.55e+08,CDS,OPTCUR,1431873000,,1431846000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1431820800,1431873000,,,,,,315513000,0,1,0,1,0,5.6125e+07,3.9025e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
4444,XX,cde_fo,OPTCUR,GBPINR,GBPINR25DEC108CE,CE,GBPINR25DEC108CE,,26,,,,,,25000,1,1451485800,1000,4,1.08e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,8.665e+07,6.91e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
