pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
126624,XX,nse_com,OPTFUT,SILVERM,SILVERM26FEB112250PE,PE,,,122150,,,SILVERM26FEB112250PE,,,5000,1,1456065000,-1,4,1.1225e+09,NSE,OPTFUT,1456065000,1426723200,1456079100,1426723200,0,0,0,0,0,ASPERCONTSPE,0,0,,,KG,,,,,,,,COM,,,,,,,1456012800,1456065000,,,,165840000,,,0,1,0,1,0,2.0166e+08,1.3491e+08,1,1,5,1,0,1,0,1e+12,1,0,120
126625,XX,nse_com,OPTFUT,SILVERM,SILVERM26FEB112500CE,CE,,,122150,,,SILVERM26FEB112500CE,,,5000,1,1456065000,-1,4,1.125e+09,NSE,OPTFUT,1456065000,1426723200,1456079100,1426723200,0,0,0,0,0,ASPERCONTSPE,0,0,,,KG,,,,,,,,COM,,,,,,,1456012800,1456065000,,,,71460000,,,0,1,0,1,0,9.831e+07,4.9495e+07,1,1,5,1,0,1,0,1e+12,1,0,120
126626,XX,nse_com,OPTFUT,SILVERM,SILVERM26FEB112500PE,PE,,,122150,,,SILVERM26FEB112500PE,,,5000,1,1456065000,-1,4,1.125e+09,NSE,OPTFUT,1456065000,1426723200,1456079100,1426723200,0,0,0,0,0,ASPERCONTSPE,0,0,,,KG,,,,,,,,COM,,,,,,,1456012800,1456065000,,,,167450000,,,0,1,0,1,0,2.03445e+08,1.36335e+08,1,1,5,1,0,1,0,1e+12,1,0,120
126627,XX,nse_com,OPTFUT,GOLD,GOLD26JAN93800CE,CE,,,125230,,,GOLD26JAN93800CE,,,5000,1,1454164200,-1,4,9.38e+08,NSE,OPTFUT,1454164200,1423699200,1454178300,1423699200,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,1454112000,1454164200,,,,112260000,,,0,1,0,1,0,1.52005e+08,7.82e+07,1,1,100,10,0,1,0,1e+12,1,0,10
126628,XX,nse_com,OPTFUT,GOLD,GOLD26JAN93800PE,PE,,,125230,,,GOLD26JAN93800PE,,,5000,1,1454164200,-1,4,9.38e+08,NSE,OPTFUT,1454164200,1423699200,1454178300,1423699200,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,1454112000,1454164200,,,,55145000,,,0,1,0,1,0,7.7865e+07,3.812e+07,1,1,100,10,0,1,0,1e+12,1,0,10
126629,XX,nse_com,OPTFUT,GOLD,GOLD26JAN93900CE,CE,,,125230,,,GOLD26JAN93900CE,,,5000,1,1454164200,-1,4,9.39e+08,NSE,OPTFUT,1454164200,1423699200,1454178300,1423699200,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,1454112000,1454164200,,,,111720000,,,0,1,0,1,0,1.5137e+08,7.7765e+07,1,1,100,10,0,1,0,1e+12,1,0,10
126630,XX,nse_com,OPTFUT,GOLD,GOLD26JAN93900PE,PE,,,125230,,,GOLD26JAN93900PE,,,5000,1,1454164200,-1,4,9.39e+08,NSE,OPTFUT,1454164200,1423699200,1454178300,1423699200,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,1454112000,1454164200,,,,55555000,,,0,1,0,1,0,7.838e+07,3.8435e+07,1,1,100,10,0,1,0,1e+12,1,0,10
126631,XX,nse_com,OPTFUT,GOLD,GOLD26JAN94000CE,CE,,,125230,,,GOLD26JAN94000CE,,,5000,1,1454164200,-1,4,9.4e+08,NSE,OPTFUT,1454164200,1423699200,1454178300,1423699200,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,1454112000,1454164200,,,,111185000,,,0,1,0,1,0,1.5074e+08,7.7335e+07,1,1,100,10,0,1,0,1e+12,1,0,10
126632,XX,nse_com,OPTFUT,GOLD,GOLD26JAN94000PE,PE,,,125230,,,GOLD26JAN94000PE,,,5000,1,1454164200,-1,4,9.4e+08,NSE,OPTFUT,1454164200,1423699200,1454178300,1423699200,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,1454112000,1454164200,,,,55970000,,,0,1,0,1,0,7.8895e+07,3.875e+07,1,1,100,10,0,1,0,1e+12,1,0,10
126633,XX,nse_com,OPTFUT,GOLD,GOLD26JAN94100CE,CE,,,125230,,,GOLD26JAN94100CE,,,5000,1,1454164200,-1,4,9.41e+08,NSE,OPTFUT,1454164200,1423699200,1454178300,1423699200,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,1454112000,1454164200,,,,110650000,,,0,1,0,1,0,1.5011e+08,7.691e+07,1,1,100,10,0,1,0,1e+12,1,0,10
